,status,time,LoanOriginalAmount2,IsBorrowerHomeowner
894,0,874,0.15,1
895,0,133,0.255,1
896,1,272,0.35,0
897,0,1096,0.15,0
898,0,537,0.1,1
899,0,1096,0.3,1
900,1,517,2.5,1
901,0,1096,0.7,0
902,0,1081,0.1,1
903,1,213,0.3001,1
904,0,424,0.32,0
905,0,493,0.4,1
906,1,244,0.3,1
907,0,241,0.1,1
908,0,404,0.6002,1
909,1,241,0.15,0
910,1,212,0.8,1
911,0,1096,0.2,1
912,1,241,0.1,1
913,0,1096,0.5,1
914,1,1036,0.3,1
915,0,672,1.2,1
916,0,806,1.0,0
917,0,333,0.3,1
918,1,243,0.3,1
919,1,152,0.2,0
920,0,663,0.5,1
921,0,190,0.32,1
922,0,326,1.5736,1
923,0,333,1.0,0
924,1,1219,0.6001,1
925,0,1096,0.18,1
926,0,958,0.3,1
927,0,1096,0.25,1
928,0,567,0.1,1
929,1,366,0.1,1
930,0,848,0.1,1
931,1,182,0.31,1
932,0,1087,0.3031,1
933,1,425,0.255,0
934,0,884,0.12,1
935,0,64,0.55,0
936,0,1096,0.85,0
937,0,161,0.5,1
938,0,196,0.3,1
939,0,1096,0.21,1
940,1,213,0.3,1
941,0,1096,0.33,0
942,0,1096,0.6001,1
943,1,578,0.12,1
944,0,452,0.58,0
945,0,567,0.23,0
946,0,22,0.325,0
947,1,729,0.9,1
948,0,1096,0.45,1
949,0,497,0.6001,1
950,1,854,0.5,0
951,0,132,0.3,0
952,0,1096,0.5,1
953,0,190,0.255,1
954,0,181,0.5,0
955,0,434,0.35,1
956,0,711,2.5,0
957,0,251,0.1,0
958,0,89,0.54,0
959,1,243,1.0001,1
960,0,583,0.78,1
961,0,159,0.3,1
962,0,274,0.6,1
963,1,842,0.3,0
964,0,155,0.3001,1
965,1,974,2.5,1
966,0,1043,0.3001,1
967,0,789,0.29,1
968,0,636,0.15,0
969,0,1096,0.5995,0
970,0,855,0.6,1
971,1,333,0.65,1
972,0,449,0.1,1
973,0,332,0.25,0
974,0,911,0.3,1
975,0,860,0.3,1
976,1,1189,2.0,0
977,0,1096,0.55,1
978,0,586,0.4275,0
979,1,333,0.75,0
980,1,333,0.6001,1
981,1,944,0.2,1
982,0,1096,1.0,0
983,0,581,0.5,1
984,1,333,0.1,1
985,0,295,0.63,0
986,0,917,0.25,0
987,0,24,0.1001,1
988,0,1096,0.5,0
989,0,264,1.0,0
990,1,242,0.3,1
991,0,1096,0.4,1
992,1,455,1.6,1
993,0,1096,0.255,1
994,0,102,0.3,0
995,0,192,0.4,0
996,0,1098,0.3,1
997,1,243,0.3,1
998,0,1096,0.7,1
999,0,1096,0.3,1
1000,0,533,1.0,1
1001,0,446,0.1025,0
1002,0,1018,0.6,1
1003,1,855,0.1,1
1004,1,333,0.2,0
1005,0,1096,0.65,0
1006,0,126,0.255,1
1007,0,1109,0.35,0
1008,0,1096,0.1,1
1009,0,648,0.44,1
1010,1,242,0.21,0
1011,1,944,0.25,1
1012,0,45,0.2,0
1013,0,578,0.6,1
1014,0,972,0.5,0
1015,0,258,0.44,1
1016,1,303,0.3,0
1017,1,486,0.25,0
1018,0,1059,0.2,1
1019,0,1096,0.32,1
1020,0,1096,0.15,1
1021,0,1096,0.2,0
1022,1,152,0.125,0
1023,0,1029,0.4,1
1024,0,1096,0.295,1
1025,0,1096,0.1,1
1026,0,1096,0.29,1
1027,1,517,1.0,0
1028,1,211,0.1,1
1029,0,1096,2.2,0
1030,0,92,0.4,0
1031,0,715,0.75,0
1032,1,333,0.27,0
1033,1,333,0.7,1
1034,0,327,1.0,1
1035,1,182,0.3001,1
1036,0,652,1.5,0
1037,0,663,0.1,1
1038,0,413,0.9825,1
1039,0,1001,1.9,0
1040,0,1096,1.3,1
1041,1,486,0.255,1
1042,0,354,0.1,1
1043,0,609,0.1,1
1044,1,244,0.3031,1
1045,1,241,0.45,1
1046,0,1075,0.43,0
1047,0,1096,0.55,1
1048,0,1066,1.2,0
1049,0,1096,0.25,1
1050,0,253,0.3,0
1051,0,776,0.5099,1
1052,1,182,1.0001,0
1053,0,20,0.45,0
1054,1,455,0.34,1
1055,0,172,1.0,0
1056,0,70,0.1,0
1057,0,254,1.5,0
1058,0,1096,0.4,1
1059,1,547,0.1,1
1060,0,968,0.5,1
1061,0,257,0.2,1
1062,0,1035,1.5,0
1063,0,1096,0.3,0
1064,0,335,0.5,1
1065,0,1107,0.6,0
1066,1,272,0.3,1
1067,0,825,0.3,1
1068,0,808,1.0,0
1069,0,121,0.15,0
1070,1,333,0.6,1
1071,0,639,0.49,1
1072,0,201,0.1036,0
1073,0,1096,0.1,0
1074,0,1096,0.3,1
1075,0,118,0.75,1
1076,0,1096,0.275,1
1077,0,1096,0.3,1
1078,1,303,0.255,1
1079,1,424,1.3,0
1080,0,114,0.1,1
1081,1,242,0.3,1
1082,0,1084,0.1,1
1083,0,1096,0.15,1
1084,0,388,1.79,0
1085,0,1096,0.3,0
1086,0,1096,0.46,1
1087,0,1100,0.475,0
1088,0,1096,0.96,0
1089,0,642,0.3,1
1090,1,303,0.1782,1
1091,1,363,0.3,1
1092,1,333,0.11,1
1093,0,357,0.27,1
1094,0,21,0.1,1
1095,1,151,0.2,1
1096,0,1096,1.1,0
1097,0,1096,0.1,1
1098,1,213,0.45,1
1099,0,61,0.49,0
1100,1,364,0.8,1
1101,1,151,0.2025,1
1102,0,1096,0.45,0
1103,1,244,0.65,0
